2026-01-20 17:42:52.068 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2026-01-20 17:42:52.977 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into ./Output/multihop-rag/kg_graph/chunk_storage_chunk_data_idx.pkl and ./Output/multihop-rag/kg_graph/chunk_storage_chunk_data_key.pkl
2026-01-20 17:42:52.996 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2026-01-20 17:42:53.010 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-01-20 17:42:53.010 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.94
2026-01-20 17:42:53.010 | INFO     | Core.Graph.BaseGraph:build_graph:41 - Starting build graph for the given documents
2026-01-20 17:42:53.010 | INFO     | Core.Storage.NetworkXStorage:load_graph:97 - Force rebuilding the graph
2026-01-20 17:43:02.192 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.001 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2335, completion_tokens: 321
2026-01-20 17:43:06.548 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.001 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2349, completion_tokens: 527
2026-01-20 17:43:07.641 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.002 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3241, completion_tokens: 527
2026-01-20 17:43:09.408 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.003 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3225, completion_tokens: 594
2026-01-20 17:43:09.594 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.004 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3242, completion_tokens: 721
2026-01-20 17:43:09.971 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.005 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3225, completion_tokens: 836
2026-01-20 17:43:09.986 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.006 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2239, completion_tokens: 685
2026-01-20 17:43:10.232 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.006 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3243, completion_tokens: 721
2026-01-20 17:43:10.426 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.007 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2663, completion_tokens: 715
2026-01-20 17:43:10.944 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.008 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3234, completion_tokens: 753
2026-01-20 17:43:11.082 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.009 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2808, completion_tokens: 888
2026-01-20 17:43:11.327 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.010 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3243, completion_tokens: 837
2026-01-20 17:43:12.368 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.011 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3043, completion_tokens: 842
2026-01-20 17:43:12.482 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.012 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3245, completion_tokens: 872
2026-01-20 17:43:13.183 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.013 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2455, completion_tokens: 757
2026-01-20 17:43:14.304 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.014 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3240, completion_tokens: 1028
2026-01-20 17:43:14.512 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.015 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2420, completion_tokens: 864
2026-01-20 17:43:15.736 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.016 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3253, completion_tokens: 617
2026-01-20 17:43:16.415 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.017 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3247, completion_tokens: 814
2026-01-20 17:43:17.629 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.018 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3238, completion_tokens: 1116
2026-01-20 17:43:18.696 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.018 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2371, completion_tokens: 340
2026-01-20 17:43:20.574 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.019 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2759, completion_tokens: 624
2026-01-20 17:43:20.591 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.020 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2186, completion_tokens: 476
2026-01-20 17:43:21.022 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.021 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2593, completion_tokens: 473
2026-01-20 17:43:21.638 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.021 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2465, completion_tokens: 648
