2026-01-20 15:51:07.126 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2026-01-20 15:51:07.848 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into ./Output/quality/kg_graph/chunk_storage_chunk_data_idx.pkl and ./Output/quality/kg_graph/chunk_storage_chunk_data_key.pkl
2026-01-20 15:51:07.873 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2026-01-20 15:51:07.902 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-01-20 15:51:07.902 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.78
2026-01-20 15:51:07.903 | INFO     | Core.Graph.BaseGraph:build_graph:41 - Starting build graph for the given documents
2026-01-20 15:51:07.903 | INFO     | Core.Storage.NetworkXStorage:load_graph:97 - Force rebuilding the graph
2026-01-20 15:51:16.379 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.001 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2220, completion_tokens: 343
2026-01-20 15:51:16.390 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.001 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2448, completion_tokens: 350
2026-01-20 15:51:17.392 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.002 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3247, completion_tokens: 439
2026-01-20 15:51:17.662 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.003 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3239, completion_tokens: 394
2026-01-20 15:51:18.552 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.003 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3069, completion_tokens: 519
2026-01-20 15:51:18.621 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.004 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3233, completion_tokens: 505
2026-01-20 15:51:18.865 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.005 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3210, completion_tokens: 477
2026-01-20 15:51:19.229 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.006 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3231, completion_tokens: 558
2026-01-20 15:51:19.420 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.007 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3222, completion_tokens: 586
2026-01-20 15:51:20.260 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.007 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3223, completion_tokens: 579
2026-01-20 15:51:21.103 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.008 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3220, completion_tokens: 539
2026-01-20 15:51:21.542 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.009 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3246, completion_tokens: 543
2026-01-20 15:51:21.587 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.010 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3232, completion_tokens: 626
2026-01-20 15:51:21.638 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.011 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3227, completion_tokens: 707
