2026-04-11 15:18:26.751 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2026-04-11 15:18:26.965 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into ./Output_denoised/mix/kg_graph/chunk_storage_chunk_data_idx.pkl and ./Output_denoised/mix/kg_graph/chunk_storage_chunk_data_key.pkl
2026-04-11 15:18:26.976 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2026-04-11 15:18:26.982 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-04-11 15:18:26.982 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.23
2026-04-11 15:18:26.982 | INFO     | Core.Graph.BaseGraph:build_graph:41 - Starting build graph for the given documents
2026-04-11 15:18:26.983 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:27 - Attempting to load the graph from: ./Output_denoised/mix/kg_graph/graph_storage_nx_data.graphml
2026-04-11 15:18:27.678 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:31 - Successfully loaded graph from: ./Output_denoised/mix/kg_graph/graph_storage_nx_data.graphml with 11161 nodes and 7687 edges
2026-04-11 15:18:27.679 | INFO     | Core.Graph.BaseGraph:build_graph:50 - ✅ Finished the graph building stage
2026-04-11 15:18:27.679 | INFO     | Core.GraphRAG:_update_costs_info:205 - Build Graph stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-04-11 15:18:27.679 | INFO     | Core.GraphRAG:_update_costs_info:207 - Build Graph time(s): 0.70
2026-04-11 15:18:28.074 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2026-04-11 15:18:28.074 | INFO     | Core.Index.BaseIndex:build_index:17 - Loading index from the file ./Output_denoised/mix/kg_graph/entities_vdb
2026-04-11 15:19:30.784 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2026-04-11 15:19:30.909 | INFO     | Core.Community.BaseCommunity:cluster:46 - Starting build community of the given graph
2026-04-11 15:19:30.913 | INFO     | Core.Storage.JsonKVStorage:load:33 - Load KV ./Output_denoised/mix/kg_graph/community_storage_community_node_map.json with 0 data
2026-04-11 15:19:30.913 | ERROR    | Core.Community.LeidenCommunity:_load_cluster_map:278 - ❌ Failed to load community <-> node map.
2026-04-11 15:19:30.966 | INFO     | Core.Community.LeidenCommunity:_clustering:62 - Each level has communities: {0: 53, 1: 284, 2: 193, 3: 2}
2026-04-11 15:19:30.999 | INFO     | Core.Storage.JsonKVStorage:persist:29 - Write KV ./Output_denoised/mix/kg_graph/community_storage_community_node_map.json with 3489 data
2026-04-11 15:19:30.999 | INFO     | Core.Community.BaseCommunity:generate_community_report:26 - Generating community report...
2026-04-11 15:19:30.999 | INFO     | Core.Storage.JsonKVStorage:load:33 - Load KV ./Output_denoised/mix/kg_graph/community_storage_community_report.json with 0 data
2026-04-11 15:19:30.999 | ERROR    | Core.Community.LeidenCommunity:_load_community_report:259 - Failed to load community report.
2026-04-11 15:19:31.010 | INFO     | Core.Storage.NetworkXStorage:_cluster_data_to_subgraphs:159 - Rewrite the graph with cluster data
2026-04-11 15:19:31.011 | INFO     | Core.Storage.NetworkXStorage:_persist:109 - Writing graph into ./Output_denoised/mix/kg_graph/graph_storage_nx_data.graphml
2026-04-11 15:19:31.014 | INFO     | Core.Storage.NetworkXStorage:write_nx_graph:45 - Writing graph with 11161 nodes, 7687 edges
2026-04-11 15:19:32.248 | INFO     | Core.Community.LeidenCommunity:_generate_community_report:81 - Generating by levels: [3, 2, 1, 0]
2026-04-11 15:19:37.255 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.001 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1630, completion_tokens: 464
2026-04-11 15:19:37.744 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.001 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1672, completion_tokens: 515
2026-04-11 15:19:38.642 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.002 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1928, completion_tokens: 618
2026-04-11 15:19:42.996 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.002 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1637, completion_tokens: 335
2026-04-11 15:19:43.120 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.003 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1718, completion_tokens: 291
2026-04-11 15:19:43.521 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.003 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1637, completion_tokens: 316
2026-04-11 15:19:44.051 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.004 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1636, completion_tokens: 421
2026-04-11 15:19:44.089 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.004 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1625, completion_tokens: 390
2026-04-11 15:19:44.131 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.005 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1627, completion_tokens: 385
2026-04-11 15:19:44.304 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.005 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1639, completion_tokens: 402
2026-04-11 15:19:44.447 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.006 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1630, completion_tokens: 443
2026-04-11 15:19:44.603 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.006 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1634, completion_tokens: 368
2026-04-11 15:19:44.815 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.006 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1638, completion_tokens: 424
2026-04-11 15:19:44.910 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.007 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1642, completion_tokens: 420
2026-04-11 15:19:44.924 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.008 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1656, completion_tokens: 495
2026-04-11 15:19:45.417 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.008 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1675, completion_tokens: 540
2026-04-11 15:19:45.432 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.009 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1632, completion_tokens: 376
2026-04-11 15:19:45.445 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.009 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1648, completion_tokens: 469
2026-04-11 15:19:45.904 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.010 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1633, completion_tokens: 439
2026-04-11 15:19:46.091 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.010 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1641, completion_tokens: 472
2026-04-11 15:19:46.143 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.011 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1690, completion_tokens: 474
2026-04-11 15:19:46.243 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.011 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1677, completion_tokens: 636
2026-04-11 15:19:46.689 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.012 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1632, completion_tokens: 502
2026-04-11 15:19:47.119 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.012 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1635, completion_tokens: 199
2026-04-11 15:19:48.158 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.013 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1672, completion_tokens: 473
2026-04-11 15:19:48.494 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.013 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1645, completion_tokens: 451
2026-04-11 15:19:48.508 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.014 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1626, completion_tokens: 327
2026-04-11 15:19:48.704 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.014 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1669, completion_tokens: 437
2026-04-11 15:19:48.828 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.015 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1633, completion_tokens: 419
2026-04-11 15:19:48.927 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.015 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1632, completion_tokens: 494
2026-04-11 15:19:49.089 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.016 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1632, completion_tokens: 354
2026-04-11 15:19:49.411 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.016 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1629, completion_tokens: 306
2026-04-11 15:19:49.540 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.017 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1639, completion_tokens: 481
2026-04-11 15:19:49.806 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.017 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1722, completion_tokens: 536
2026-04-11 15:19:50.040 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.018 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1633, completion_tokens: 432
2026-04-11 15:19:50.188 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.018 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1628, completion_tokens: 324
2026-04-11 15:19:50.697 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.019 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1642, completion_tokens: 525
2026-04-11 15:19:50.750 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.019 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1630, completion_tokens: 481
2026-04-11 15:19:50.989 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.020 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1634, completion_tokens: 485
2026-04-11 15:19:51.104 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.020 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1637, completion_tokens: 484
2026-04-11 15:19:51.224 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.021 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1633, completion_tokens: 313
2026-04-11 15:19:51.307 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.021 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1678, completion_tokens: 418
2026-04-11 15:19:51.453 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.022 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1633, completion_tokens: 456
2026-04-11 15:19:51.556 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.022 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1642, completion_tokens: 587
2026-04-11 15:19:52.760 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.023 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1625, completion_tokens: 445
2026-04-11 15:19:52.909 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.023 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1639, completion_tokens: 298
2026-04-11 15:19:53.585 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.024 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1758, completion_tokens: 473
2026-04-11 15:19:53.652 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.024 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1630, completion_tokens: 184
2026-04-11 15:19:53.664 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.025 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1638, completion_tokens: 540
2026-04-11 15:19:53.679 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.025 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1659, completion_tokens: 387
2026-04-11 15:19:53.826 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.026 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1650, completion_tokens: 323
2026-04-11 15:19:53.986 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.026 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1637, completion_tokens: 439
2026-04-11 15:19:53.998 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.027 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1636, completion_tokens: 411
2026-04-11 15:19:54.401 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.027 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1638, completion_tokens: 300
2026-04-11 15:19:54.582 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.028 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1634, completion_tokens: 531
2026-04-11 15:19:54.872 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.028 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1628, completion_tokens: 483
2026-04-11 15:19:54.953 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.029 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1636, completion_tokens: 535
2026-04-11 15:19:55.194 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.029 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1698, completion_tokens: 472
2026-04-11 15:19:55.549 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.030 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1631, completion_tokens: 384
2026-04-11 15:19:55.952 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.030 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1638, completion_tokens: 487
2026-04-11 15:19:56.300 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.031 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1681, completion_tokens: 561
2026-04-11 15:19:56.676 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.031 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1627, completion_tokens: 469
2026-04-11 15:19:56.725 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.032 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1639, completion_tokens: 295
2026-04-11 15:19:56.881 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.032 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1674, completion_tokens: 486
2026-04-11 15:19:56.980 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.033 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1637, completion_tokens: 549
2026-04-11 15:19:57.123 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.034 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1635, completion_tokens: 416
2026-04-11 15:19:59.574 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.034 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1848, completion_tokens: 540
2026-04-11 15:20:00.233 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.035 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2726, completion_tokens: 679
2026-04-11 15:20:00.564 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.036 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2994, completion_tokens: 660
2026-04-11 15:20:00.674 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.036 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2107, completion_tokens: 624
2026-04-11 15:20:00.753 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.037 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 3179, completion_tokens: 715
2026-04-11 15:20:00.781 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.038 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1855, completion_tokens: 628
2026-04-11 15:20:00.983 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.039 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2219, completion_tokens: 711
2026-04-11 15:20:01.257 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.039 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1773, completion_tokens: 576
2026-04-11 15:20:01.529 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.040 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2120, completion_tokens: 588
2026-04-11 15:20:01.578 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.041 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1930, completion_tokens: 568
2026-04-11 15:20:02.182 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.041 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 1869, completion_tokens: 576
2026-04-11 15:20:02.327 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.042 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2275, completion_tokens: 848
2026-04-11 15:20:02.385 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.043 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2737, completion_tokens: 855
2026-04-11 15:20:02.706 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.044 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2472, completion_tokens: 579
2026-04-11 15:20:02.722 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.045 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2475, completion_tokens: 937
2026-04-11 15:20:04.256 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.045 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 2083, completion_tokens: 638
