2026-04-08 20:17:44.088 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2026-04-08 20:17:44.855 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into ./Output_denoised/multihop-rag-summary/kg_graph/chunk_storage_chunk_data_idx.pkl and ./Output_denoised/multihop-rag-summary/kg_graph/chunk_storage_chunk_data_key.pkl
2026-04-08 20:17:44.935 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2026-04-08 20:17:44.962 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-04-08 20:17:44.962 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.87
2026-04-08 20:17:44.963 | INFO     | Core.Graph.BaseGraph:build_graph:41 - Starting build graph for the given documents
2026-04-08 20:17:44.963 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:27 - Attempting to load the graph from: ./Output_denoised/multihop-rag-summary/kg_graph/graph_storage_nx_data.graphml
2026-04-08 20:17:46.391 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:31 - Successfully loaded graph from: ./Output_denoised/multihop-rag-summary/kg_graph/graph_storage_nx_data.graphml with 17943 nodes and 13087 edges
2026-04-08 20:17:46.392 | INFO     | Core.Graph.BaseGraph:build_graph:50 - ✅ Finished the graph building stage
2026-04-08 20:17:46.392 | INFO     | Core.GraphRAG:_update_costs_info:205 - Build Graph stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-04-08 20:17:46.392 | INFO     | Core.GraphRAG:_update_costs_info:207 - Build Graph time(s): 1.43
2026-04-08 20:17:46.855 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2026-04-08 20:17:46.856 | INFO     | Core.Index.BaseIndex:build_index:17 - Loading index from the file ./Output_denoised/multihop-rag-summary/kg_graph/entities_vdb
2026-04-08 20:19:34.782 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2026-04-08 20:19:35.721 | INFO     | Core.Community.BaseCommunity:cluster:46 - Starting build community of the given graph
2026-04-08 20:19:35.724 | INFO     | Core.Storage.JsonKVStorage:load:33 - Load KV ./Output_denoised/multihop-rag-summary/kg_graph/community_storage_community_node_map.json with 0 data
2026-04-08 20:19:35.724 | ERROR    | Core.Community.LeidenCommunity:_load_cluster_map:278 - ❌ Failed to load community <-> node map.
2026-04-08 20:19:35.889 | INFO     | Core.Community.LeidenCommunity:_clustering:62 - Each level has communities: {0: 53, 1: 469, 2: 914, 3: 229, 4: 11}
2026-04-08 20:19:35.992 | INFO     | Core.Storage.JsonKVStorage:persist:29 - Write KV ./Output_denoised/multihop-rag-summary/kg_graph/community_storage_community_node_map.json with 8592 data
2026-04-08 20:19:35.992 | INFO     | Core.Community.BaseCommunity:generate_community_report:26 - Generating community report...
2026-04-08 20:19:35.992 | INFO     | Core.Storage.JsonKVStorage:load:33 - Load KV ./Output_denoised/multihop-rag-summary/kg_graph/community_storage_community_report.json with 0 data
2026-04-08 20:19:35.992 | ERROR    | Core.Community.LeidenCommunity:_load_community_report:259 - Failed to load community report.
2026-04-08 20:19:36.028 | INFO     | Core.Storage.NetworkXStorage:_cluster_data_to_subgraphs:159 - Rewrite the graph with cluster data
2026-04-08 20:19:36.028 | INFO     | Core.Storage.NetworkXStorage:_persist:109 - Writing graph into ./Output_denoised/multihop-rag-summary/kg_graph/graph_storage_nx_data.graphml
2026-04-08 20:19:36.034 | INFO     | Core.Storage.NetworkXStorage:write_nx_graph:45 - Writing graph with 17943 nodes, 13087 edges
2026-04-08 20:19:38.510 | INFO     | Core.Community.LeidenCommunity:_generate_community_report:81 - Generating by levels: [4, 3, 2, 1, 0]
2026-04-08 20:19:42.847 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.000 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 1627, completion_tokens: 209
