2026-03-29 00:52:49.424 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2026-03-29 00:52:50.171 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into ./Output_denoised/multihop-rag/kg_graph/chunk_storage_chunk_data_idx.pkl and ./Output_denoised/multihop-rag/kg_graph/chunk_storage_chunk_data_key.pkl
2026-03-29 00:52:50.222 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2026-03-29 00:52:50.239 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-03-29 00:52:50.239 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.82
2026-03-29 00:52:50.239 | INFO     | Core.Graph.BaseGraph:build_graph:41 - Starting build graph for the given documents
2026-03-29 00:52:50.239 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:27 - Attempting to load the graph from: ./Output_denoised/multihop-rag/kg_graph/graph_storage_nx_data.graphml
2026-03-29 00:52:53.365 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:31 - Successfully loaded graph from: ./Output_denoised/multihop-rag/kg_graph/graph_storage_nx_data.graphml with 18595 nodes and 19374 edges
2026-03-29 00:52:53.366 | INFO     | Core.Graph.BaseGraph:build_graph:50 - ✅ Finished the graph building stage
2026-03-29 00:52:53.367 | INFO     | Core.GraphRAG:_update_costs_info:205 - Build Graph stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-03-29 00:52:53.367 | INFO     | Core.GraphRAG:_update_costs_info:207 - Build Graph time(s): 3.13
2026-03-29 00:52:53.652 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2026-03-29 00:52:53.652 | INFO     | Core.Index.BaseIndex:build_index:17 - Loading index from the file ./Output_denoised/multihop-rag/kg_graph/entities_vdb
2026-03-29 00:56:14.586 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2026-03-29 00:56:15.200 | INFO     | Core.Community.BaseCommunity:cluster:46 - Starting build community of the given graph
2026-03-29 00:56:15.205 | INFO     | Core.Storage.JsonKVStorage:load:33 - Load KV ./Output_denoised/multihop-rag/kg_graph/community_storage_community_node_map.json with 0 data
2026-03-29 00:56:15.205 | ERROR    | Core.Community.LeidenCommunity:_load_cluster_map:276 - ❌ Failed to load community <-> node map.
