2026-04-02 13:23:49.819 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2026-04-02 13:23:50.400 | INFO     | Core.Storage.ChunkKVStorage:_persist:105 - Writing data into ./Output_denoised/quality/kg_graph/chunk_storage_chunk_data_idx.pkl and ./Output_denoised/quality/kg_graph/chunk_storage_chunk_data_key.pkl
2026-04-02 13:23:50.469 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2026-04-02 13:23:50.496 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-04-02 13:23:50.496 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.68
2026-04-02 13:23:50.496 | INFO     | Core.Graph.BaseGraph:build_graph:41 - Starting build graph for the given documents
2026-04-02 13:23:50.497 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:27 - Attempting to load the graph from: ./Output_denoised/quality/kg_graph/graph_storage_nx_data.graphml
2026-04-02 13:23:51.729 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:31 - Successfully loaded graph from: ./Output_denoised/quality/kg_graph/graph_storage_nx_data.graphml with 11842 nodes and 10289 edges
2026-04-02 13:23:51.730 | INFO     | Core.Graph.BaseGraph:build_graph:50 - ✅ Finished the graph building stage
2026-04-02 13:23:51.730 | INFO     | Core.GraphRAG:_update_costs_info:205 - Build Graph stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-04-02 13:23:51.730 | INFO     | Core.GraphRAG:_update_costs_info:207 - Build Graph time(s): 1.23
2026-04-02 13:23:51.823 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2026-04-02 13:23:51.823 | INFO     | Core.Index.BaseIndex:build_index:17 - Loading index from the file ./Output_denoised/quality/kg_graph/entities_vdb
2026-04-02 13:25:10.160 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2026-04-02 13:25:10.949 | INFO     | Core.Community.BaseCommunity:cluster:46 - Starting build community of the given graph
2026-04-02 13:25:10.962 | INFO     | Core.Storage.JsonKVStorage:load:33 - Load KV ./Output_denoised/quality/kg_graph/community_storage_community_node_map.json with 6510 data
2026-04-02 13:25:10.962 | INFO     | Core.Community.LeidenCommunity:_load_cluster_map:281 - ✅ Successfully loaded community <-> node map.
2026-04-02 13:25:10.967 | INFO     | Core.Community.BaseCommunity:generate_community_report:26 - Generating community report...
2026-04-02 13:25:11.072 | INFO     | Core.Storage.JsonKVStorage:load:33 - Load KV ./Output_denoised/quality/kg_graph/community_storage_community_report.json with 2116 data
2026-04-02 13:25:11.099 | INFO     | Core.Storage.NetworkXStorage:_cluster_data_to_subgraphs:159 - Rewrite the graph with cluster data
2026-04-02 13:25:11.099 | INFO     | Core.Storage.NetworkXStorage:_persist:109 - Writing graph into ./Output_denoised/quality/kg_graph/graph_storage_nx_data.graphml
2026-04-02 13:25:11.104 | INFO     | Core.Storage.NetworkXStorage:write_nx_graph:45 - Writing graph with 11842 nodes, 10289 edges
2026-04-02 13:25:12.918 | INFO     | Core.Community.LeidenCommunity:_load_community_report:265 - Successfully loaded community report.
2026-04-02 13:25:12.919 | INFO     | Core.Community.BaseCommunity:generate_community_report:34 - ✅ [Community Report]  Finished
2026-04-02 13:25:12.919 | INFO     | Core.GraphRAG:_update_costs_info:205 - Index Building stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2026-04-02 13:25:12.919 | INFO     | Core.GraphRAG:_update_costs_info:207 - Index Building time(s): 81.19
2026-04-02 13:25:12.919 | INFO     | Core.GraphRAG:_build_retriever_context:176 - Building retriever context for the current execution
2026-04-02 13:25:12.921 | INFO     | Core.Retriever.CommunityRetriever:find_relevant_community_by_level:115 - Retrieved 512 communities
2026-04-02 13:25:13.042 | INFO     | Core.Query.BaseQuery:_map_global_communities:158 - Grouping to 20 groups for global search
2026-04-02 13:25:16.137 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.003 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16755, completion_tokens: 5
2026-04-02 13:25:16.138 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:16.466 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.003 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 4620, completion_tokens: 15
2026-04-02 13:25:16.521 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.006 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17002, completion_tokens: 5
2026-04-02 13:25:16.522 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:16.591 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.008 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17045, completion_tokens: 52
2026-04-02 13:25:16.654 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.011 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17282, completion_tokens: 52
2026-04-02 13:25:16.696 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.014 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17152, completion_tokens: 5
2026-04-02 13:25:16.697 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:16.728 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.016 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16673, completion_tokens: 5
2026-04-02 13:25:16.728 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:16.771 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.019 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16978, completion_tokens: 53
2026-04-02 13:25:16.779 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.021 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17293, completion_tokens: 52
2026-04-02 13:25:16.873 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.024 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16967, completion_tokens: 5
2026-04-02 13:25:16.874 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:17.045 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.026 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16867, completion_tokens: 52
2026-04-02 13:25:17.099 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.029 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17146, completion_tokens: 53
2026-04-02 13:25:17.156 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.032 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17087, completion_tokens: 52
2026-04-02 13:25:17.211 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.034 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17276, completion_tokens: 52
2026-04-02 13:25:17.215 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.037 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16659, completion_tokens: 19
2026-04-02 13:25:17.216 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:17.268 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.039 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16941, completion_tokens: 48
2026-04-02 13:25:17.302 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.042 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16966, completion_tokens: 53
2026-04-02 13:25:17.354 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.044 | Max budget: $10.000 | Current cost: $0.002, prompt_tokens: 16641, completion_tokens: 5
2026-04-02 13:25:17.355 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:17.557 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.047 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 16878, completion_tokens: 52
2026-04-02 13:25:17.755 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.049 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17003, completion_tokens: 52
2026-04-02 13:25:19.689 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.050 | Max budget: $10.000 | Current cost: $0.000, prompt_tokens: 487, completion_tokens: 65
2026-04-02 13:25:19.695 | INFO     | Core.Retriever.CommunityRetriever:find_relevant_community_by_level:115 - Retrieved 512 communities
2026-04-02 13:25:19.820 | INFO     | Core.Query.BaseQuery:_map_global_communities:158 - Grouping to 20 groups for global search
2026-04-02 13:25:22.360 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.050 | Max budget: $10.000 | Current cost: $0.001, prompt_tokens: 4707, completion_tokens: 149
2026-04-02 13:25:22.551 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.053 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17054, completion_tokens: 5
2026-04-02 13:25:22.552 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:22.834 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.056 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17132, completion_tokens: 5
2026-04-02 13:25:22.834 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:22.859 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.058 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17053, completion_tokens: 5
2026-04-02 13:25:22.860 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
2026-04-02 13:25:22.870 | INFO     | Core.Common.CostManager:update_cost:57 - Total running cost: $0.061 | Max budget: $10.000 | Current cost: $0.003, prompt_tokens: 17380, completion_tokens: 5
2026-04-02 13:25:22.871 | WARNING  | Core.Common.Utils:prase_json_from_response:216 - No values could be extracted from the string.
